rule_id,family,description,params
level__pct_w20_p05,level,Курс входит в нижние 5% за 20 публикаций,"{'window': 20, 'threshold': 0.05}"
level__pct_w20_p10,level,Курс входит в нижние 10% за 20 публикаций,"{'window': 20, 'threshold': 0.1}"
level__pct_w20_p20,level,Курс входит в нижние 20% за 20 публикаций,"{'window': 20, 'threshold': 0.2}"
level__pct_w60_p05,level,Курс входит в нижние 5% за 60 публикаций,"{'window': 60, 'threshold': 0.05}"
level__pct_w60_p10,level,Курс входит в нижние 10% за 60 публикаций,"{'window': 60, 'threshold': 0.1}"
level__pct_w60_p20,level,Курс входит в нижние 20% за 60 публикаций,"{'window': 60, 'threshold': 0.2}"
level__pct_w90_p05,level,Курс входит в нижние 5% за 90 публикаций,"{'window': 90, 'threshold': 0.05}"
level__pct_w90_p10,level,Курс входит в нижние 10% за 90 публикаций,"{'window': 90, 'threshold': 0.1}"
level__pct_w90_p20,level,Курс входит в нижние 20% за 90 публикаций,"{'window': 90, 'threshold': 0.2}"
level__pct_w120_p05,level,Курс входит в нижние 5% за 120 публикаций,"{'window': 120, 'threshold': 0.05}"
level__pct_w120_p10,level,Курс входит в нижние 10% за 120 публикаций,"{'window': 120, 'threshold': 0.1}"
level__pct_w120_p20,level,Курс входит в нижние 20% за 120 публикаций,"{'window': 120, 'threshold': 0.2}"
level__pct_w250_p05,level,Курс входит в нижние 5% за 250 публикаций,"{'window': 250, 'threshold': 0.05}"
level__pct_w250_p10,level,Курс входит в нижние 10% за 250 публикаций,"{'window': 250, 'threshold': 0.1}"
level__pct_w250_p20,level,Курс входит в нижние 20% за 250 публикаций,"{'window': 250, 'threshold': 0.2}"
level__near_min_w20_bp0,level,Курс не дальше 0 б.п. от минимума за 20 публикаций,"{'window': 20, 'tolerance_bp': 0}"
level__near_min_w20_bp10,level,Курс не дальше 10 б.п. от минимума за 20 публикаций,"{'window': 20, 'tolerance_bp': 10}"
level__near_min_w20_bp25,level,Курс не дальше 25 б.п. от минимума за 20 публикаций,"{'window': 20, 'tolerance_bp': 25}"
level__near_min_w20_bp50,level,Курс не дальше 50 б.п. от минимума за 20 публикаций,"{'window': 20, 'tolerance_bp': 50}"
level__near_min_w60_bp0,level,Курс не дальше 0 б.п. от минимума за 60 публикаций,"{'window': 60, 'tolerance_bp': 0}"
level__near_min_w60_bp10,level,Курс не дальше 10 б.п. от минимума за 60 публикаций,"{'window': 60, 'tolerance_bp': 10}"
level__near_min_w60_bp25,level,Курс не дальше 25 б.п. от минимума за 60 публикаций,"{'window': 60, 'tolerance_bp': 25}"
level__near_min_w60_bp50,level,Курс не дальше 50 б.п. от минимума за 60 публикаций,"{'window': 60, 'tolerance_bp': 50}"
level__near_min_w120_bp0,level,Курс не дальше 0 б.п. от минимума за 120 публикаций,"{'window': 120, 'tolerance_bp': 0}"
level__near_min_w120_bp10,level,Курс не дальше 10 б.п. от минимума за 120 публикаций,"{'window': 120, 'tolerance_bp': 10}"
level__near_min_w120_bp25,level,Курс не дальше 25 б.п. от минимума за 120 публикаций,"{'window': 120, 'tolerance_bp': 25}"
level__near_min_w120_bp50,level,Курс не дальше 50 б.п. от минимума за 120 публикаций,"{'window': 120, 'tolerance_bp': 50}"
level__z_sma_w10_m0p5,level,Курс ниже SMA(10) на 0.5 sigma,"{'kind': 'sma', 'window': 10, 'threshold': -0.5}"
level__z_sma_w10_m1p0,level,Курс ниже SMA(10) на 1.0 sigma,"{'kind': 'sma', 'window': 10, 'threshold': -1.0}"
level__z_sma_w10_m1p5,level,Курс ниже SMA(10) на 1.5 sigma,"{'kind': 'sma', 'window': 10, 'threshold': -1.5}"
level__z_sma_w20_m0p5,level,Курс ниже SMA(20) на 0.5 sigma,"{'kind': 'sma', 'window': 20, 'threshold': -0.5}"
level__z_sma_w20_m1p0,level,Курс ниже SMA(20) на 1.0 sigma,"{'kind': 'sma', 'window': 20, 'threshold': -1.0}"
level__z_sma_w20_m1p5,level,Курс ниже SMA(20) на 1.5 sigma,"{'kind': 'sma', 'window': 20, 'threshold': -1.5}"
level__z_sma_w60_m0p5,level,Курс ниже SMA(60) на 0.5 sigma,"{'kind': 'sma', 'window': 60, 'threshold': -0.5}"
level__z_sma_w60_m1p0,level,Курс ниже SMA(60) на 1.0 sigma,"{'kind': 'sma', 'window': 60, 'threshold': -1.0}"
level__z_sma_w60_m1p5,level,Курс ниже SMA(60) на 1.5 sigma,"{'kind': 'sma', 'window': 60, 'threshold': -1.5}"
level__z_sma_w120_m0p5,level,Курс ниже SMA(120) на 0.5 sigma,"{'kind': 'sma', 'window': 120, 'threshold': -0.5}"
level__z_sma_w120_m1p0,level,Курс ниже SMA(120) на 1.0 sigma,"{'kind': 'sma', 'window': 120, 'threshold': -1.0}"
level__z_sma_w120_m1p5,level,Курс ниже SMA(120) на 1.5 sigma,"{'kind': 'sma', 'window': 120, 'threshold': -1.5}"
level__z_ema_w10_m0p5,level,Курс ниже EMA(10) на 0.5 sigma,"{'kind': 'ema', 'window': 10, 'threshold': -0.5}"
level__z_ema_w10_m1p0,level,Курс ниже EMA(10) на 1.0 sigma,"{'kind': 'ema', 'window': 10, 'threshold': -1.0}"
level__z_ema_w10_m1p5,level,Курс ниже EMA(10) на 1.5 sigma,"{'kind': 'ema', 'window': 10, 'threshold': -1.5}"
level__z_ema_w20_m0p5,level,Курс ниже EMA(20) на 0.5 sigma,"{'kind': 'ema', 'window': 20, 'threshold': -0.5}"
level__z_ema_w20_m1p0,level,Курс ниже EMA(20) на 1.0 sigma,"{'kind': 'ema', 'window': 20, 'threshold': -1.0}"
level__z_ema_w20_m1p5,level,Курс ниже EMA(20) на 1.5 sigma,"{'kind': 'ema', 'window': 20, 'threshold': -1.5}"
level__z_ema_w60_m0p5,level,Курс ниже EMA(60) на 0.5 sigma,"{'kind': 'ema', 'window': 60, 'threshold': -0.5}"
level__z_ema_w60_m1p0,level,Курс ниже EMA(60) на 1.0 sigma,"{'kind': 'ema', 'window': 60, 'threshold': -1.0}"
level__z_ema_w60_m1p5,level,Курс ниже EMA(60) на 1.5 sigma,"{'kind': 'ema', 'window': 60, 'threshold': -1.5}"
level__z_ema_w120_m0p5,level,Курс ниже EMA(120) на 0.5 sigma,"{'kind': 'ema', 'window': 120, 'threshold': -0.5}"
level__z_ema_w120_m1p0,level,Курс ниже EMA(120) на 1.0 sigma,"{'kind': 'ema', 'window': 120, 'threshold': -1.0}"
level__z_ema_w120_m1p5,level,Курс ниже EMA(120) на 1.5 sigma,"{'kind': 'ema', 'window': 120, 'threshold': -1.5}"
level__boll_w10_k1p0,level,Курс ниже нижней Bollinger band 10/1.0,"{'window': 10, 'width': 1.0}"
level__boll_w10_k1p5,level,Курс ниже нижней Bollinger band 10/1.5,"{'window': 10, 'width': 1.5}"
