fold,rule_id,family,description,params,signal_count,corridors_with_signals,mean_lift,median_lift,mean_bps,mean_signals_per_week,positive_share,mean_cluster_share,passed
wf_2022,level__pct_w20_p05,level,Курс входит в нижние 5% за 20 публикаций,"{'window': 20, 'threshold': 0.05}",182,5,1.058927309630485,0.9552825552825553,10.848425317708223,0.7137254901960783,0.4,0.46559073144439,False
wf_2022,level__pct_w20_p10,level,Курс входит в нижние 10% за 20 публикаций,"{'window': 20, 'threshold': 0.1}",277,5,1.152193404260872,1.0927014873746108,13.382733733167944,1.0862745098039217,0.8,0.6665402669932184,True
wf_2022,level__pct_w20_p20,level,Курс входит в нижние 20% за 20 публикаций,"{'window': 20, 'threshold': 0.2}",412,5,1.0806082399331556,1.0956336022781206,10.856301711050829,1.615686274509804,0.8,0.7400366244689089,True
wf_2022,level__pct_w60_p05,level,Курс входит в нижние 5% за 60 публикаций,"{'window': 60, 'threshold': 0.05}",166,5,1.4690797475708464,1.5997366688610928,22.81575522440165,0.6509803921568628,0.8,0.7228075634349607,True
wf_2022,level__pct_w60_p10,level,Курс входит в нижние 10% за 60 публикаций,"{'window': 60, 'threshold': 0.1}",247,5,1.4673335324716947,1.562198649951784,27.735136332582208,0.968627450980392,0.8,0.7596747628707715,True
wf_2022,level__pct_w60_p20,level,Курс входит в нижние 20% за 60 публикаций,"{'window': 60, 'threshold': 0.2}",385,5,1.253621491011154,1.2296015180265656,20.33267384948298,1.5098039215686274,1.0,0.7652213019954957,True
wf_2022,level__pct_w90_p05,level,Курс входит в нижние 5% за 90 публикаций,"{'window': 90, 'threshold': 0.05}",164,5,1.6410509345376174,1.8,32.01118258151119,0.6431372549019608,0.8,0.7253174603174604,True
wf_2022,level__pct_w90_p10,level,Курс входит в нижние 10% за 90 публикаций,"{'window': 90, 'threshold': 0.1}",258,5,1.4759126511619507,1.4100580270793037,35.198025871735084,1.011764705882353,0.8,0.7463499746351945,True
wf_2022,level__pct_w90_p20,level,Курс входит в нижние 20% за 90 публикаций,"{'window': 90, 'threshold': 0.2}",435,5,1.249154562183581,1.2220502901353967,19.056016717453815,1.7058823529411764,1.0,0.8418903059427334,True
wf_2022,level__pct_w120_p05,level,Курс входит в нижние 5% за 120 публикаций,"{'window': 120, 'threshold': 0.05}",201,5,1.6110936426840499,1.732620320855615,36.33967951801604,0.7882352941176471,0.8,0.7421895751307516,True
