horizon,corridor,method,split,eligible_days,signal_count,target_positives,signal_hit_rate,random_hit_rate,freq_matched_hit_rate,lift,lift_freq_matched,bps_forward,value_observations,moment_advantage_bps,regret_observations,customer_regret_bps_mean,customer_regret_bps_max,customer_regret_cvar_95_bps,customer_regret_worst_five_mean_bps,useful_signals_per_week,useful_signals_per_100_weeks,eligible_weeks,pushes_per_week,pushes_p50_per_week,pushes_p90_per_week,zero_push_week_rate,over_budget_week_rate,cluster_rate,signals_per_week,cluster_share,lift_at_risk,feature_groups,training_horizon,evaluation_horizon,threshold_metric
1,RUB->AMD,logreg,y2022,247,2,124,1.0,0.5020242914979757,0.55,1.991935483870968,1.8181818181818181,448.9817570898724,2,-64.01241099282029,2,0.0,0.0,0.0,0.0,0.0392156862745098,3.9215686274509802,51,0.0392156862745098,0.0,0.0,0.9607843137254902,0.0,0.0,0.0392156862745098,0.0,10.790470118879222,A,5,1,lar
1,RUB->KGS,logreg,y2022,247,0,123,,0.4979757085020243,,,,,0,,0,,,,,0.0,0.0,51,0.0,0.0,0.0,1.0,0.0,,0.0,,,A,5,1,lar
1,RUB->KZT,logreg,y2022,247,0,116,,0.46963562753036436,,,,,0,,0,,,,,0.0,0.0,51,0.0,0.0,0.0,1.0,0.0,,0.0,,,A,5,1,lar
1,RUB->TJS,logreg,y2022,247,2,131,0.5,0.5303643724696356,0.54,0.9427480916030534,0.9259259259259258,68.07496743176377,2,-11.158887395196771,2,40.18361752800792,80.36723505601584,80.36723505601584,40.18361752800792,0.0196078431372549,1.9607843137254901,51,0.0392156862745098,0.0,0.0,0.9607843137254902,0.0,0.0,0.0392156862745098,0.0,2.994745058968054,A,5,1,lar
1,RUB->UZS,logreg,y2022,247,0,119,,0.4817813765182186,,,,,0,,0,,,,,0.0,0.0,51,0.0,0.0,0.0,1.0,0.0,,0.0,,,A,5,1,lar
10,RUB->AMD,logreg,y2022,247,2,59,0.5,0.2388663967611336,0.23,2.0932203389830506,2.1739130434782608,645.7739341369306,2,258.31389261972373,2,71.93403122989662,143.86806245979324,143.86806245979324,71.93403122989662,0.0196078431372549,1.9607843137254901,51,0.0392156862745098,0.0,0.0,0.9607843137254902,0.0,0.0,0.0392156862745098,0.0,2.084943882683069,A,5,10,lar
10,RUB->KGS,logreg,y2022,247,0,51,,0.20647773279352227,,,,,0,,0,,,,,0.0,0.0,51,0.0,0.0,0.0,1.0,0.0,,0.0,,,A,5,10,lar
10,RUB->KZT,logreg,y2022,247,0,51,,0.20647773279352227,,,,,0,,0,,,,,0.0,0.0,51,0.0,0.0,0.0,1.0,0.0,,0.0,,,A,5,10,lar
10,RUB->TJS,logreg,y2022,247,2,57,0.0,0.23076923076923078,0.24,0.0,0.0,-709.7927613492411,2,-26.733377050552342,2,1444.272141646774,1486.630468391501,1486.630468391501,1444.272141646774,0.0,0.0,51,0.0392156862745098,0.0,0.0,0.9607843137254902,0.0,0.0,0.0392156862745098,0.0,,A,5,10,lar
10,RUB->UZS,logreg,y2022,247,0,51,,0.20647773279352227,,,,,0,,0,,,,,0.0,0.0,51,0.0,0.0,0.0,1.0,0.0,,0.0,,,A,5,10,lar
1,RUB->AMD,logreg,wf_oos,656,120,353,0.5083333333333333,0.538109756097561,0.5356666666666667,0.9446647780925401,0.9489732420659612,8.483303050240872,120,-2.997576119158934,120,24.081653589770323,178.71011713239682,150.78575485663566,154.53299249095622,0.4420289855072464,44.20289855072464,138,0.8695652173913043,0.0,2.0,0.5072463768115942,0.07971014492753623,0.49166666666666664,0.8695652173913043,0.38333333333333336,1.294573441114682,A,5,1,lar
1,RUB->KGS,logreg,wf_oos,656,89,348,0.4606741573033708,0.5304878048780488,0.5197752808988764,0.8683972620431357,0.8862948551664506,-1.23178574248319,88,-9.812535454130948,88,24.965743856849528,189.05190951901352,152.91357510199478,152.91357510199478,0.2971014492753623,29.71014492753623,138,0.644927536231884,0.0,2.0,0.6376811594202898,0.07971014492753623,0.5168539325842697,0.644927536231884,0.43820224719101125,1.0995516639512297,A,5,1,lar
1,RUB->KZT,logreg,wf_oos,656,83,333,0.4457831325301205,0.5076219512195121,0.5224096385542168,0.8781793842034806,0.8533210332103321,9.794895848965835,82,-12.802414506469157,82,27.865213029443005,166.4829775831911,130.63399390076125,130.63399390076123,0.26811594202898553,26.81159420289855,138,0.6014492753623188,0.0,2.0,0.6666666666666666,0.07971014492753623,0.46987951807228917,0.6014492753623188,0.4457831325301205,1.4102231429615684,A,5,1,lar
1,RUB->TJS,logreg,wf_oos,656,147,361,0.5374149659863946,0.5503048780487805,0.5476190476190476,0.9765767802966062,0.9813664596273294,6.5843684353528475,146,-3.211062244112691,146,26.001457865248607,346.75179408548695,181.16348763863837,203.76370652753593,0.572463768115942,57.2463768115942,138,1.065217391304348,1.0,3.0,0.43478260869565216,0.13043478260869565,0.5238095238095238,1.065217391304348,0.43537414965986393,1.2554678994076043,A,5,1,lar
1,RUB->UZS,logreg,wf_oos,656,92,345,0.45652173913043476,0.5259146341463414,0.5156521739130435,0.8680529300567108,0.8853288364249577,-4.847089388082524,92,-10.789802999352784,92,32.649298203665865,231.45256084902587,182.71941865347506,182.71941865347506,0.30434782608695654,30.434782608695652,138,0.6666666666666666,0.0,2.0,0.6159420289855072,0.07971014492753623,0.4891304347826087,0.6666666666666666,0.40217391304347827,1.2579233557330938,A,5,1,lar
10,RUB->AMD,logreg,wf_oos,656,120,174,0.21666666666666667,0.2652439024390244,0.26583333333333337,0.8168582375478927,0.8150470219435736,4.1106016175388564,119,14.130311546895204,119,176.21785700111988,1053.3363774466343,934.3785711897708,964.9344788052958,0.18840579710144925,18.840579710144926,138,0.8695652173913043,0.0,2.0,0.5072463768115942,0.07971014492753623,0.49166666666666664,0.8695652173913043,0.38333333333333336,0.8176009156987405,A,5,10,lar
10,RUB->KGS,logreg,wf_oos,656,89,167,0.15730337078651685,0.2545731707317073,0.24943820224719102,0.6179102469218866,0.6306306306306306,-23.881619252792966,85,1.8352035853196687,85,186.48332578010218,1033.0189147102287,909.9573378266898,909.9573378266896,0.10144927536231885,10.144927536231885,138,0.644927536231884,0.0,2.0,0.6376811594202898,0.07971014492753623,0.5168539325842697,0.644927536231884,0.43820224719101125,0.5834890812764845,A,5,10,lar
10,RUB->KZT,logreg,wf_oos,656,83,137,0.08433734939759036,0.20884146341463414,0.21301204819277106,0.40383431536364434,0.3959276018099548,-21.556155852013017,77,21.34018104899352,77,217.57734553492327,1041.777647152471,1014.1459312064333,998.6584329248402,0.050724637681159424,5.072463768115942,138,0.6014492753623188,0.0,2.0,0.6666666666666666,0.07971014492753623,0.46987951807228917,0.6014492753623188,0.4457831325301205,0.5902591489569631,A,5,10,lar
10,RUB->TJS,logreg,wf_oos,656,147,180,0.272108843537415,0.27439024390243905,0.2763265306122449,0.9916855631141346,0.9847365829640573,14.51429962520068,143,6.792488667248424,143,168.50790076079025,1083.5193114327458,909.1507630250649,1001.6719613025665,0.2898550724637681,28.985507246376812,138,1.065217391304348,1.0,3.0,0.43478260869565216,0.13043478260869565,0.5238095238095238,1.065217391304348,0.43537414965986393,0.8420094877321258,A,5,10,lar
10,RUB->UZS,logreg,wf_oos,656,92,156,0.14130434782608695,0.23780487804878048,0.2491304347826087,0.5942028985507246,0.5671902268760907,-22.40999902008573,86,13.674108945138626,86,207.1551674418615,1050.8687759952284,930.8152154239484,930.8152154239484,0.09420289855072463,9.420289855072463,138,0.6666666666666666,0.0,2.0,0.6159420289855072,0.07971014492753623,0.4891304347826087,0.6666666666666666,0.40217391304347827,0.5835175982340592,A,5,10,lar
1,RUB->AMD,logreg,oot,247,5,132,0.8,0.5344129554655871,0.484,1.4969696969696968,1.6528925619834711,76.9871348828226,5,-7.4943336042734305,5,1.4409150307312935,7.204575153656467,7.204575153656467,1.4409150307312935,0.07547169811320754,7.547169811320755,53,0.09433962264150944,0.0,0.0,0.9056603773584906,0.0,0.0,0.09433962264150944,0.0,3.1026188867126723,A,5,1,lar
1,RUB->KGS,logreg,oot,247,0,117,,0.47368421052631576,,,,,0,,0,,,,,0.0,0.0,53,0.0,0.0,0.0,1.0,0.0,,0.0,,,A,5,1,lar
1,RUB->KZT,logreg,oot,247,0,142,,0.5748987854251012,,,,,0,,0,,,,,0.0,0.0,53,0.0,0.0,0.0,1.0,0.0,,0.0,,,A,5,1,lar
1,RUB->TJS,logreg,oot,247,2,125,0.5,0.5060728744939271,0.47,0.988,1.0638297872340425,101.2441964126698,2,4.395091229859034,2,22.895262072951674,45.79052414590335,45.79052414590335,22.895262072951674,0.018867924528301886,1.8867924528301887,53,0.03773584905660377,0.0,0.0,0.9622641509433962,0.0,0.0,0.03773584905660377,0.0,0.8259889337811556,A,5,1,lar
1,RUB->UZS,logreg,oot,247,0,136,,0.5506072874493927,,,,,0,,0,,,,,0.0,0.0,53,0.0,0.0,0.0,1.0,0.0,,0.0,,,A,5,1,lar
10,RUB->AMD,logreg,oot,238,5,56,0.0,0.23529411764705882,0.22399999999999998,0.0,0.0,14.352377492047541,5,64.83080054254954,5,122.05884916674492,385.44240206191074,385.44240206191074,122.05884916674495,0.0,0.0,51,0.09803921568627451,0.0,0.0,0.9019607843137255,0.0,0.0,0.09803921568627451,0.0,0.0,A,5,10,lar
10,RUB->KGS,logreg,oot,238,0,53,,0.22268907563025211,,,,,0,,0,,,,,0.0,0.0,51,0.0,0.0,0.0,1.0,0.0,,0.0,,,A,5,10,lar
10,RUB->KZT,logreg,oot,238,0,65,,0.27310924369747897,,,,,0,,0,,,,,0.0,0.0,51,0.0,0.0,0.0,1.0,0.0,,0.0,,,A,5,10,lar
