source,method,feature_groups,label,horizon,lar,lift,frequency,cluster,corridors_with_lar,corridors
lar-threshold,catboost,"A,B,C","CatBoost (A,B,C)",1,2.735613247218259,1.5095996732026145,0.0113207547169811,0.0,2,5
lift-threshold matrix,momentum,,Правило: momentum,10,2.656542969264355,0.6417416993674856,0.7132075471698113,0.558639824493483,5,5
lar-threshold,logreg,A,LogReg (A),1,1.964303910246914,1.2424848484848483,0.02641509433962262,0.0,2,5
lift-threshold matrix,momentum,,Правило: momentum,5,1.8697143669834624,0.788501638290103,0.7132075471698113,0.558639824493483,5,5
lar-threshold,catboost,"A,B,C,D","CatBoost (A,B,C,D)",5,1.8411125103496204,1.5339213567750132,0.39999999999999997,0.36450000000000005,5,5
lift-threshold matrix,level,,Правило: level,10,1.8250430663224395,0.9471554796652649,0.909433962264151,0.7957692826915063,5,5
lar-threshold,catboost,"A,B,C,D","CatBoost (A,B,C,D)",10,1.6282433493495294,1.5867715940593299,0.39999999999999997,0.37321428571428567,5,5
lift-threshold matrix,level,,Правило: level,5,1.4513261491664464,0.9331960200151886,0.909433962264151,0.7957692826915063,5,5
lift-threshold matrix,momentum,,Правило: momentum,1,1.4408491960588068,0.7878630260533404,0.7132075471698113,0.558639824493483,5,5
lift-threshold matrix,reversal,,Правило: reversal,1,1.4222363126253401,1.0480572234356826,0.1924528301886792,0.02222222222222222,5,5
lar-threshold,catboost,"A,B,C,D","CatBoost (A,B,C,D)",1,1.2534872876988263,1.3352051839856727,0.3924528301886792,0.36450000000000005,5,5
lift-threshold matrix,level,,Правило: level,1,1.2383909244990734,0.9539917668844298,0.909433962264151,0.7957692826915063,5,5
lar-threshold,logreg,"A,B","LogReg (A,B)",1,1.1507849317367727,1.170926945272347,0.21132075471698109,0.28880952380952374,5,5
lar-threshold,logreg,A,LogReg (A),5,1.1428079185862101,1.1605701592002962,0.0269230769230769,0.0,2,5
lar-threshold,logreg,"A,B,C","LogReg (A,B,C)",1,1.101835530146714,1.1366992115888346,0.3660377358490566,0.30377492877492873,5,5
lift-threshold matrix,random,,Случайный день,5,1.0257274452503597,0.9984481245128126,1.437735849056604,0.48350774428951093,5,5
lift-threshold matrix,seasonality,,Правило: seasonality,1,1.022907070754528,1.035005737922232,0.8905660377358491,0.8216006546644845,5,5
lar-threshold,logreg,"A,B","LogReg (A,B)",5,1.0212515282986216,1.5176404066575713,0.21538461538461534,0.28880952380952374,5,5
lift-threshold matrix,random,,Случайный день,1,0.978326645663613,1.0141275856257899,1.437735849056604,0.48350774428951093,5,5
lift-threshold matrix,seasonality,,Правило: seasonality,5,0.9565246046505512,1.0829059991514882,0.8905660377358491,0.8216006546644845,5,5
lift-threshold matrix,seasonality,,Правило: seasonality,10,0.9265075715635953,1.0090542835861824,0.8905660377358491,0.8216006546644845,5,5
lift-threshold matrix,random,,Случайный день,10,0.9181253343212898,0.9914585715320774,1.437735849056604,0.48350774428951093,5,5
lift-threshold matrix,reversal,,Правило: reversal,5,0.8555764303135277,0.6398719448298587,0.1924528301886792,0.02222222222222222,5,5
lar-threshold,logreg,"A,B,C","LogReg (A,B,C)",5,0.8339732293059218,1.2617027336554316,0.35,0.28301431683784617,5,5
lar-threshold,logreg,"A,B","LogReg (A,B)",10,0.6876021034889732,1.3883200610244635,0.2117647058823529,0.2788095238095238,5,5
lar-threshold,logreg,"A,B,C","LogReg (A,B,C)",10,0.6054562410081481,1.178155693159624,0.34117647058823525,0.2776310726310726,5,5
lift-threshold matrix,reversal,,Правило: reversal,10,0.5819214359432664,0.3201424501424501,0.1924528301886792,0.02222222222222222,5,5
lar-threshold,logreg,A,LogReg (A),10,0.0,0.0,0.02745098039215686,0.0,2,5
lar-threshold,catboost,"A,B,C","CatBoost (A,B,C)",10,0.0,0.0,0.011764705882352941,0.0,1,5
lar-threshold,catboost,"A,B,C","CatBoost (A,B,C)",5,0.0,0.0,0.01153846153846152,0.0,2,5
lar-threshold,catboost,A,CatBoost (A),1,,,0.0,,0,5
lar-threshold,catboost,A,CatBoost (A),10,,,0.0,,0,5
lar-threshold,catboost,A,CatBoost (A),5,,,0.0,,0,5
lar-threshold,catboost,"A,B","CatBoost (A,B)",1,,,0.0,,0,5
lar-threshold,catboost,"A,B","CatBoost (A,B)",10,,,0.0,,0,5
lar-threshold,catboost,"A,B","CatBoost (A,B)",5,,,0.0,,0,5
lar-threshold,logreg,"A,B,C,D","LogReg (A,B,C,D)",1,,,0.0,,0,5
lar-threshold,logreg,"A,B,C,D","LogReg (A,B,C,D)",10,,,0.0,,0,5
lar-threshold,logreg,"A,B,C,D","LogReg (A,B,C,D)",5,,,0.0,,0,5
