label,indicator,frequency,cluster,lar_h1,n_h1,lift_h1,lar_h5,n_h5,lift_h5,lar_h10,n_h10,lift_h10
"Правило: лучше, чем год назад",signal_better_than_one_year_ago,0.06538461538461537,0.04,0.8327990768443796,5,0.5238761416986769,5.659142129596396,4,0.45437671232876714,0.4287078497448648,2,0.44074074074074077
Правило: диапазон удержался,signal_better_range_held,0.2192307692307692,0.0641025641025641,1.5971938235776562,5,0.8366659028841298,1.9155771053879647,5,0.790194967143721,2.5761441692294342,5,0.8054139728196332
"CatBoost (A,B,C,D)",catboost,0.39999999999999997,0.36450000000000005,1.2534872876988263,5,1.3352051839856727,1.8411125103496204,5,1.5339213567750132,1.6282433493495294,5,1.5867715940593299
Правило: лучше 30-дневного среднего,signal_better_than_30_day_average,0.1923076923076923,0.05333333333333333,0.862549008334689,5,0.6731810238256635,1.7987061549538113,5,0.7727325742649023,0.8967512343947455,5,0.653019136698382
Правило: momentum,signal_momentum,0.7269230769230768,0.558639824493483,1.4320825490543991,5,0.7878630260533404,1.7928136671221857,5,0.788501638290103,2.619076553390334,5,0.6417416993674856
Правило: недавние изменения хорошие,signal_most_recent_changes_favourable,0.23461538461538461,0.07633699633699634,2.2109396541669377,5,0.8932761601097973,1.717826658702064,5,0.8841306772911353,2.2655273746762217,5,0.8614006522245518
Правило: крупное последнее улучшение,signal_larger_than_usual_latest_improvement,0.4153846153846154,0.07424823684414478,0.8647654472683696,5,0.7093812019146,1.5137990808257478,5,0.931766054483395,1.7852394706502228,5,1.0042636890955186
Правило: level,signal_level,0.926923076923077,0.7957692826915063,1.2362282638511526,5,0.9539917668844298,1.4561129042348864,5,0.9331960200151886,1.8556694053435527,5,0.9471554796652649
LogReg (A),logreg,0.0269230769230769,0.0,1.964303910246914,2,1.2424848484848483,1.1428079185862101,2,1.1605701592002962,0.0,2,0.0
Случайный день,random,1.437735849056604,0.48350774428951093,0.978326645663613,5,1.0141275856257899,1.0257274452503597,5,0.9984481245128126,0.9181253343212898,5,0.9914585715320774
"LogReg (A,B)",logreg,0.21538461538461534,0.28880952380952374,1.1507849317367727,5,1.170926945272347,1.0212515282986216,5,1.5176404066575713,0.6876021034889732,5,1.3883200610244635
Правило: seasonality,signal_seasonality,0.8769230769230768,0.8190016553494814,1.0201150842355036,5,1.035005737922232,0.9566684299019705,5,1.0829059991514882,0.9235379040050266,5,1.0090542835861824
Правило: недавние изменения плохие,signal_most_recent_changes_unfavourable,0.29615384615384616,0.0,1.144339598297274,5,1.1618252258649941,0.9424140044094484,5,1.2895644218913995,0.9795746075797608,5,1.377645233871649
Правило: reversal,signal_reversal,0.19615384615384618,0.02222222222222222,1.3577381687908923,5,1.0480572234356826,0.836205115765473,5,0.6398719448298587,0.5836587594110542,5,0.32014245014245013
"LogReg (A,B,C)",logreg,0.35,0.28301431683784617,1.101835530146714,5,1.1366992115888346,0.8339732293059218,5,1.2617027336554316,0.6054562410081481,5,1.178155693159624
"Правило: хуже, чем год назад",signal_less_than_one_year_ago,0.08461538461538462,0.0,1.0828374821727675,5,1.2955080362946148,0.612997561502943,5,0.9958532609838517,0.5692984606662987,5,1.035014245014245
"CatBoost (A,B,C)",catboost,0.01153846153846152,0.0,2.735613247218259,2,1.5095996732026145,0.0,2,0.0,0.0,1,0.0
CatBoost (A),catboost,0.0,,,0,,,0,,,0,
"CatBoost (A,B)",catboost,0.0,,,0,,,0,,,0,
"LogReg (A,B,C,D)",logreg,0.0,,,0,,,0,,,0,
