experiment,currency,fold,training_horizon,evaluation_horizon,hit_rate,base_hit_rate,eligible_days,target_positives,positive_target_per_week,all_signals,outcome_signals,excluded_outcome_signals,moment_signals,excluded_moment_signals,empty_week_share,over_two_week_share,weeks,period_start,period_end,small_sample,worst_five_mean_bps,random_hit_rate_lar,random_forward_bps_lar,random_cvar_lar,forward_bps_lar,lift_ci_low,lift_ci_high,lift_bootstrap_valid,moment_advantage_bps_ci_low,moment_advantage_bps_ci_high,moment_advantage_bps_bootstrap_valid,customer_regret_cvar_95_bps_ci_low,customer_regret_cvar_95_bps_ci_high,customer_regret_cvar_95_bps_bootstrap_valid,lift_at_risk_ci_low,lift_at_risk_ci_high,lift_at_risk_bootstrap_valid
catboost_ab,AMD,oot,5.0,1,0.6923076923076923,0.5344129554655871,247,132,2.490566037735849,13,13,0,13,0,0.9056603773584906,0.0566037735849056,53,2025-09-02,2026-09-02,True,27.08290833090654,0.6884615384615383,27.633854762828005,85.8601604681063,34.72488818506208,0.8108427543679343,2.175438596491228,1000,-14.772820927395992,6.8144059714003635,1000,0.0,54.78572216018218,1000,0.8807722166642306,1.7168636620928228,998
catboost_ab,AMD,wf_2022,5.0,1,0.4375,0.5020242914979757,247,124,2.4313725490196076,32,32,0,32,0,0.7254901960784313,0.0980392156862745,51,2022-01-11,2022-12-31,True,306.46140134165955,0.43015625,3.851552447459044,510.6054142686248,9.200829594315785,0.5232912406959016,1.131740475009123,1000,-22.651638132358112,67.53966213077645,1000,150.39134023945743,808.2600538011176,1000,0.0988116435092673,8.841561916051852,1000
catboost_ab,AMD,wf_2023,5.0,1,0.4845360824742268,0.5708502024291497,247,141,2.764705882352941,97,97,0,97,0,0.4705882352941176,0.392156862745098,51,2023-01-10,2023-12-30,True,230.48968929050503,0.4618041237113403,-6.974347332418117,248.2144811589751,-2.1797970772830855,0.7267988692556778,1.038606129214846,1000,3.9971251835649726,14.95164915031152,1000,126.40463169719894,319.35759676877456,1000,0.911812744212863,2.1046239444994534,1000
catboost_ab,AMD,wf_2024,5.0,1,0.575,0.5604838709677419,248,139,2.7254901960784315,40,40,0,40,0,0.7254901960784313,0.1372549019607843,51,2024-01-10,2024-12-29,True,199.83426357197453,0.553125,-4.897566818532309,252.243526086091,-12.03075950266097,0.6708254511446001,1.3529750249750248,1000,-9.578163459572622,4.731230104922849,1000,58.55116852494736,354.15876193781946,1000,0.6025696547411772,1.1614293560251088,1000
catboost_ab,AMD,wf_2025,5.0,1,,0.453416149068323,161,73,2.1470588235294117,0,0,0,0,0,1.0,0.0,34,2025-01-10,2025-08-30,True,,,,,,,,0,,,0,,,0,,,0
catboost_ab,KGS,oot,5.0,1,0.6470588235294118,0.4736842105263157,247,117,2.207547169811321,17,17,0,17,0,0.8679245283018868,0.0566037735849056,53,2025-09-02,2026-09-02,True,94.8623332844849,0.6582352941176471,43.1745999027268,259.403330684509,48.874603166919805,0.9173480762315712,2.1946902654867255,998,-33.87781968979764,0.6723781327736618,998,0.0,259.40333068450894,998,0.7551833735621827,2.211537355228881,997
catboost_ab,KGS,wf_2022,5.0,1,0.4848484848484848,0.4979757085020243,247,123,2.411764705882353,33,33,0,33,0,0.6862745098039216,0.0784313725490196,51,2022-01-11,2022-12-31,True,388.6892636578674,0.5328787878787878,-21.801029883820902,492.05042647123935,-13.109028605193505,0.669247318439571,1.25424666744479,1000,-26.642186834438213,72.99210651732663,1000,142.42960703618078,479.8224264587536,1000,0.4699275679320011,2.1335683864338235,1000
catboost_ab,KGS,wf_2023,5.0,1,0.5,0.5668016194331984,247,140,2.7450980392156863,102,102,0,102,0,0.392156862745098,0.4313725490196078,51,2023-01-10,2023-12-30,False,,0.4961764705882354,-1.7136750490565973,202.08074309681356,4.709964515331923,0.7694079567864185,1.0241294287640543,1000,4.50561264882543,12.499100708717698,1000,98.13212611976851,209.21464145353585,1000,0.9246174554655128,1.9761982605421424,1000
catboost_ab,KGS,wf_2024,5.0,1,0.4545454545454545,0.5645161290322581,248,140,2.7450980392156863,55,55,0,55,0,0.6078431372549019,0.1764705882352941,51,2024-01-10,2024-12-29,True,187.51387498519412,0.4638181818181817,-11.560365595308973,214.13528257470244,-16.078501426112986,0.6415701751797017,0.9707123245881636,1000,-3.1317743074099993,5.978734526718025,1000,105.47140021251992,398.5472450912763,1000,0.7293900907077975,1.0691796142169567,1000
catboost_ab,KGS,wf_2025,5.0,1,0.0,0.422360248447205,161,68,2.0,1,1,0,1,0,0.9705882352941176,0.0,34,2025-01-10,2025-08-30,True,17.18214922219241,0.43,-6.160446434999117,8.870161648862117,-17.15267723621072,0.0,0.0,256,-5.176123559917922,-5.176123559917922,256,17.18214922219241,17.18214922219241,256,0.0,0.0,60
catboost_ab,KZT,oot,5.0,1,0.5172413793103449,0.5748987854251012,247,142,2.679245283018868,29,29,0,29,0,0.7547169811320755,0.0754716981132075,53,2025-09-02,2026-09-02,True,111.68948942656388,0.5677586206896552,23.287551573568397,183.1680341716969,25.919954355670544,0.6623306724721819,1.1457317727907228,1000,-32.54754323791343,-6.221500479945394,1000,75.93587161419558,139.56725451448992,1000,0.7020864281801699,1.9792833595261887,1000
catboost_ab,KZT,wf_2022,5.0,1,0.4210526315789473,0.4696356275303643,247,116,2.2745098039215685,38,38,0,38,0,0.6470588235294118,0.0980392156862745,51,2022-01-11,2022-12-31,True,301.60322437913493,0.3988157894736841,-28.346134676395497,499.6545528285913,12.294859912693129,0.6102646984501349,1.3469217868952352,1000,4.292221753711466,53.25917641224997,1000,213.2816286960737,376.4796879203658,1000,1.1663076012961762,5.822935194812003,1000
catboost_ab,KZT,wf_2023,5.0,1,0.5294117647058824,0.5587044534412956,247,138,2.7058823529411766,102,102,0,102,0,0.3725490196078431,0.4117647058823529,51,2023-01-10,2023-12-30,False,,0.4889705882352941,-1.3246349890308755,253.17743062670215,8.201781420403693,0.8151311983050157,1.1218066274169478,1000,3.20505799423924,14.672674884130592,1000,164.32712719595187,281.3936666140693,1000,1.0130199842969194,1.9951266964398504,1000
catboost_ab,KZT,wf_2024,5.0,1,0.3846153846153846,0.5040322580645161,248,125,2.450980392156863,39,39,0,39,0,0.7254901960784313,0.1176470588235294,51,2024-01-10,2024-12-29,True,116.60180458005476,0.4152564102564103,-8.023334524979148,250.76948692970677,-6.751098116179535,0.4454344467088069,1.0518040687760513,1000,2.3000691587942153,19.20924364500437,1000,76.87621452183268,175.7786974515363,1000,0.6461990348069119,2.3562674834340345,1000
catboost_ab,KZT,wf_2025,5.0,1,,0.4347826086956521,161,70,2.0588235294117645,0,0,0,0,0,1.0,0.0,34,2025-01-10,2025-08-30,True,,,,,,,,0,,,0,,,0,,,0
catboost_ab,TJS,oot,5.0,1,0.7857142857142857,0.5060728744939271,247,125,2.358490566037736,29,28,1,28,1,0.7358490566037735,0.0754716981132075,53,2025-09-02,2026-09-02,True,104.8277960352344,0.7335714285714287,51.49573940549219,114.20625065153745,40.97523774058103,1.157304428904429,1.9510122651762147,1000,-32.72151940247522,-2.928365390330419,1000,18.11754583938674,375.2192912694685,1000,0.2234746333576961,1.8757098643885808,1000
