corridor,driver,observations,correlation,beta,variance_explained_r2,residual_volatility
RUB->AMD,CNY/RUB,1887,0.8937790543711738,0.919048084585562,0.7988409980326296,0.005513737339688755
RUB->AMD,EUR/RUB,1887,0.8709232881314832,0.8590424316182693,0.7585073738097554,0.006041270400109201
RUB->AMD,USD/RUB,1887,0.961407754935432,0.980075803289987,0.9243048712499866,0.0033822858091871015
RUB->KGS,CNY/RUB,1887,0.7984609177653694,0.8733617243965016,0.6375398371987158,0.007872975641633556
RUB->KGS,EUR/RUB,1887,0.7927321019198742,0.8317514899787956,0.628424185414302,0.007971361163943945
RUB->KGS,USD/RUB,1887,0.8639422927893852,0.9368481653627021,0.7463962852701795,0.00658546691968996
RUB->KZT,CNY/RUB,1887,0.7895854339053854,0.7959708032718299,0.6234451574355553,0.00739571904412384
RUB->KZT,EUR/RUB,1887,0.7826394212085452,0.7568091603820567,0.6125244636296472,0.007502196409576112
RUB->KZT,USD/RUB,1887,0.8594407882543347,0.8589303639484189,0.738638468515232,0.006161509451328375
RUB->TJS,CNY/RUB,1887,0.763620642644323,0.8991892540848722,0.5831164858725288,0.009089690264634614
RUB->TJS,EUR/RUB,1887,0.7584563864872121,0.8567038363206274,0.5752560902032398,0.00917498376352484
RUB->TJS,USD/RUB,1887,0.8315259767381805,0.9707183826845559,0.6914354499903851,0.007820143799749988
RUB->UZS,CNY/RUB,1887,0.9042963302523396,0.9386983867658755,0.8177518529078486,0.005298038865081052
RUB->UZS,EUR/RUB,1887,0.8830152323030199,0.8792454900367218,0.7797159004791572,0.00582472135345366
RUB->UZS,USD/RUB,1887,0.9728232989161122,1.001136398050454,0.9463851709140284,0.0028735981937613995
