kind,source,series_id,start,end,observations,business_day_coverage,median_publication_lag_days
target,cbr,AMD,2019-01-10,2026-09-02,1888,0.9463659147869674,0.0
target,cbr,KGS,2019-01-10,2026-09-02,1888,0.9463659147869674,0.0
target,cbr,KZT,2019-01-10,2026-09-02,1888,0.9463659147869674,0.0
target,cbr,TJS,2019-01-10,2026-09-02,1888,0.9463659147869674,0.0
target,cbr,UZS,2019-01-10,2026-09-02,1888,0.9463659147869674,0.0
cbr_context,cbr,CNY,2019-01-10,2026-09-02,1888,0.9463659147869674,0.0
cbr_context,cbr,EUR,2019-01-10,2026-09-02,1888,0.9463659147869674,0.0
cbr_context,cbr,USD,2019-01-10,2026-09-02,1888,0.9463659147869674,0.0
external,moex,moex_imoex,1997-09-22,2026-09-04,7247,0.9592322964923892,1.0
external,moex,moex_rgbi,2002-12-30,2026-09-04,5922,0.958252427184466,1.0
external,moex,moex_rvi,2013-11-18,2026-09-04,3221,0.9643712574850299,1.0
