horizon,corridor,indicator,eligible_days,signal_count,target_positives,signal_hit_rate,random_hit_rate,lift,signals_per_week
1,RUB->AMD,momentum,1798,251,404,0.46613545816733065,0.22469410456062291,2.074533548972427,0.6610233258088788
1,RUB->AMD,reversal,1798,87,404,0.0,0.22469410456062291,0.0,0.2291196388261851
1,RUB->AMD,seasonality,1798,356,404,0.24719101123595505,0.22469410456062291,1.1001223717877406,0.9375470278404815
1,RUB->AMD,level,1798,302,404,0.31456953642384106,0.22469410456062291,1.3999901645793718,0.7953348382242287
1,RUB->KGS,momentum,1798,273,405,0.4468864468864469,0.22525027808676307,1.9839551395106951,0.718961625282167
1,RUB->KGS,reversal,1798,98,405,0.0,0.22525027808676307,0.0,0.2580887885628292
1,RUB->KGS,seasonality,1798,387,405,0.2351421188630491,0.22525027808676307,1.0439148881870672,1.0191873589164786
1,RUB->KGS,level,1798,361,405,0.31301939058171746,0.22525027808676307,1.389651516705995,0.9507148231753197
1,RUB->KZT,momentum,1798,249,420,0.4979919678714859,0.2335928809788654,2.1318799005545994,0.6557562076749436
1,RUB->KZT,reversal,1798,98,420,0.0,0.2335928809788654,0.0,0.2580887885628292
1,RUB->KZT,seasonality,1798,409,420,0.23471882640586797,0.2335928809788654,1.004820118756549,1.0771256583897668
1,RUB->KZT,level,1798,379,420,0.28232189973614774,0.2335928809788654,1.208606608870461,0.9981188863807374
1,RUB->TJS,momentum,1798,260,401,0.45,0.22302558398220246,2.0177057356608477,0.6847253574115877
1,RUB->TJS,reversal,1798,94,401,0.0,0.22302558398220246,0.0,0.2475545522949586
1,RUB->TJS,seasonality,1798,352,401,0.23579545454545456,0.22302558398220246,1.0572574246202675,0.927012791572611
1,RUB->TJS,level,1798,344,401,0.3023255813953488,0.22302558398220246,1.3555645769297684,0.9059443190368698
1,RUB->UZS,momentum,1798,285,387,0.43859649122807015,0.21523915461624027,2.0377170315970803,0.7505643340857787
1,RUB->UZS,reversal,1798,104,387,0.0,0.21523915461624027,0.0,0.27389014296463504
1,RUB->UZS,seasonality,1798,375,387,0.224,0.21523915461624027,1.040702842377261,0.9875846501128668
1,RUB->UZS,level,1798,461,387,0.30151843817787416,0.21523915461624027,1.4008531055395808,1.2140707298720843
3,RUB->AMD,momentum,1796,251,166,0.30677290836653387,0.09242761692650334,3.31906110497768,0.6620195930670685
3,RUB->AMD,reversal,1796,87,166,0.0,0.09242761692650334,0.0,0.22946495855312735
3,RUB->AMD,seasonality,1796,356,166,0.11235955056179775,0.09242761692650334,1.2156491133071612,0.9389600602863601
3,RUB->AMD,level,1796,302,166,0.16887417218543047,0.09242761692650334,1.827096465331525,0.7965335342878673
3,RUB->KGS,momentum,1796,273,169,0.28205128205128205,0.09409799554565701,2.9974207252313763,0.7200452147701583
3,RUB->KGS,reversal,1796,98,169,0.0,0.09409799554565701,0.0,0.25847776940467215
3,RUB->KGS,seasonality,1796,386,169,0.11139896373056994,0.09409799554565701,1.1838611766870037,1.0180859080633007
3,RUB->KGS,level,1796,361,169,0.16620498614958448,0.09409799554565701,1.7662967758855252,0.9521477015825169
3,RUB->KZT,momentum,1796,249,174,0.30522088353413657,0.09688195991091314,3.150440843835111,0.6567445365486059
3,RUB->KZT,reversal,1796,98,174,0.0,0.09688195991091314,0.0,0.25847776940467215
3,RUB->KZT,seasonality,1796,409,174,0.10024449877750612,0.09688195991091314,1.0347075850827643,1.0787490580256216
3,RUB->KZT,level,1796,379,174,0.13984168865435356,0.09688195991091314,1.4434234070299943,0.9996232102486812
3,RUB->TJS,momentum,1796,260,165,0.2846153846153846,0.09187082405345212,3.0979953379953376,0.6857573474001507
3,RUB->TJS,reversal,1796,94,165,0.0,0.09187082405345212,0.0,0.24792765636774677
3,RUB->TJS,seasonality,1796,352,165,0.10227272727272728,0.09187082405345212,1.1132231404958677,0.9284099472494347
3,RUB->TJS,level,1796,344,165,0.1744186046511628,0.09187082405345212,1.8985200845665962,0.907309721175584
3,RUB->UZS,momentum,1796,285,165,0.29473684210526313,0.09187082405345212,3.2081658692185004,0.7516955538809343
3,RUB->UZS,reversal,1796,104,165,0.0,0.09187082405345212,0.0,0.27430293896006025
3,RUB->UZS,seasonality,1796,373,165,0.0938337801608579,0.09187082405345212,1.0213664798115198,0.9837980406932931
3,RUB->UZS,level,1796,461,165,0.16052060737527116,0.09187082405345212,1.7472424899756787,1.2159005275056518
5,RUB->AMD,momentum,1794,251,101,0.22310756972111553,0.05629877369007804,3.9629205948483293,0.6625188536953244
5,RUB->AMD,reversal,1794,87,101,0.0,0.05629877369007804,0.0,0.22963800904977377
5,RUB->AMD,seasonality,1794,356,101,0.047752808988764044,0.05629877369007804,0.8482033596618088,0.9396681749622927
5,RUB->AMD,level,1794,302,101,0.10927152317880795,0.05629877369007804,1.9409219067602124,0.797134238310709
5,RUB->KGS,momentum,1794,273,103,0.1978021978021978,0.05741360089186176,3.4452149791955615,0.7205882352941176
5,RUB->KGS,reversal,1794,98,103,0.0,0.05741360089186176,0.0,0.25867269984917046
5,RUB->KGS,seasonality,1794,384,103,0.052083333333333336,0.05741360089186176,0.9071601941747574,1.0135746606334843
5,RUB->KGS,level,1794,361,103,0.0997229916897507,0.05741360089186176,1.7369227872952695,0.9528657616892912
5,RUB->KZT,momentum,1794,249,101,0.21285140562248997,0.05629877369007804,3.7807467493737326,0.6572398190045249
5,RUB->KZT,reversal,1794,98,101,0.0,0.05629877369007804,0.0,0.25867269984917046
5,RUB->KZT,seasonality,1794,409,101,0.0488997555012225,0.05629877369007804,0.8685758551405263,1.0795625942684768
5,RUB->KZT,level,1794,379,101,0.09762532981530343,0.05629877369007804,1.7340578385015282,1.0003770739064857
5,RUB->TJS,momentum,1794,260,100,0.2153846153846154,0.055741360089186176,3.8640000000000003,0.6862745098039216
5,RUB->TJS,reversal,1794,94,100,0.0,0.055741360089186176,0.0,0.24811463046757165
5,RUB->TJS,seasonality,1794,352,100,0.05965909090909091,0.055741360089186176,1.070284090909091,0.9291101055806938
5,RUB->TJS,level,1794,344,100,0.10755813953488372,0.055741360089186176,1.9295930232558138,0.9079939668174963
5,RUB->UZS,momentum,1794,285,102,0.21052631578947367,0.056856187290969896,3.7027863777089784,0.7522624434389141
5,RUB->UZS,reversal,1794,104,102,0.0,0.056856187290969896,0.0,0.27450980392156865
5,RUB->UZS,seasonality,1794,371,102,0.05929919137466307,0.056856187290969896,1.042968130648486,0.9792609351432882
5,RUB->UZS,level,1794,461,102,0.10412147505422993,0.056856187290969896,1.831313002424397,1.216817496229261
10,RUB->AMD,momentum,1789,251,56,0.1394422310756972,0.03130240357741755,4.454681274900398,0.6642722117202269
10,RUB->AMD,reversal,1789,87,56,0.0,0.03130240357741755,0.0,0.23024574669187148
10,RUB->AMD,seasonality,1789,356,56,0.03089887640449438,0.03130240357741755,0.9871087479935795,0.9421550094517959
10,RUB->AMD,level,1789,302,56,0.08940397350993377,0.03130240357741755,2.8561376537369916,0.7992438563327032
10,RUB->KGS,momentum,1789,272,54,0.09926470588235294,0.03018446059250978,3.2886029411764706,0.7198487712665407
10,RUB->KGS,reversal,1789,98,54,0.0,0.03018446059250978,0.0,0.2593572778827977
10,RUB->KGS,seasonality,1789,382,54,0.028795811518324606,0.03018446059250978,0.9539945704867171,1.0109640831758036
10,RUB->KGS,level,1789,361,54,0.08587257617728532,0.03018446059250978,2.844926644095619,0.9553875236294896
10,RUB->KZT,momentum,1789,249,60,0.12048192771084337,0.03353828954723309,3.5923694779116464,0.6589792060491494
10,RUB->KZT,reversal,1789,98,60,0.0,0.03353828954723309,0.0,0.2593572778827977
10,RUB->KZT,seasonality,1789,409,60,0.03178484107579462,0.03353828954723309,0.9477180114099429,1.0824196597353497
10,RUB->KZT,level,1789,379,60,0.06860158311345646,0.03353828954723309,2.0454705364995602,1.0030245746691873
10,RUB->TJS,momentum,1789,259,53,0.11196911196911197,0.029625489100055896,3.7794856851460628,0.685444234404537
10,RUB->TJS,reversal,1789,94,53,0.0,0.029625489100055896,0.0,0.24877126654064274
10,RUB->TJS,seasonality,1789,352,53,0.03125,0.029625489100055896,1.0548349056603774,0.9315689981096409
10,RUB->TJS,level,1789,344,53,0.0755813953488372,0.029625489100055896,2.551228609039052,0.9103969754253308
10,RUB->UZS,momentum,1789,285,54,0.11228070175438597,0.03018446059250978,3.719818063677713,0.7542533081285445
10,RUB->UZS,reversal,1789,104,54,0.0,0.03018446059250978,0.0,0.27523629489603024
10,RUB->UZS,seasonality,1789,369,54,0.032520325203252036,0.03018446059250978,1.07738632941885,0.9765595463137997
10,RUB->UZS,level,1789,461,54,0.0650759219088937,0.03018446059250978,2.155941190648349,1.2200378071833649
20,RUB->AMD,momentum,1779,251,27,0.06772908366533864,0.01517706576728499,4.462594068171757,0.6678069175218548
20,RUB->AMD,reversal,1779,87,27,0.0,0.01517706576728499,0.0,0.2314709236031927
20,RUB->AMD,seasonality,1779,356,27,0.016853932584269662,0.01517706576728499,1.1104868913857677,0.9471683770429495
20,RUB->AMD,level,1779,302,27,0.056291390728476824,0.01517706576728499,3.70897718910964,0.8034967692892437
20,RUB->KGS,momentum,1779,272,27,0.04779411764705882,0.01517706576728499,3.1491013071895426,0.7236792094260738
20,RUB->KGS,reversal,1779,98,27,0.0,0.01517706576728499,0.0,0.26073736221968835
20,RUB->KGS,seasonality,1779,382,27,0.015706806282722512,0.01517706576728499,1.0349040139616057,1.01634359559103
20,RUB->KGS,level,1779,361,27,0.05817174515235457,0.01517706576728499,3.832871652816251,0.9604713036868111
20,RUB->KZT,momentum,1779,249,24,0.03614457831325301,0.013490725126475547,2.6792168674698797,0.6624857468643102
20,RUB->KZT,reversal,1779,98,24,0.0,0.013490725126475547,0.0,0.26073736221968835
20,RUB->KZT,seasonality,1779,409,24,0.007334963325183374,0.013490725126475547,0.5437041564792177,1.088179399467883
20,RUB->KZT,level,1779,379,24,0.04221635883905013,0.013490725126475547,3.129287598944591,1.0083618396047132
20,RUB->TJS,momentum,1779,259,27,0.05405405405405406,0.01517706576728499,3.561561561561562,0.6890916001520335
20,RUB->TJS,reversal,1779,94,27,0.0,0.01517706576728499,0.0,0.250095020904599
20,RUB->TJS,seasonality,1779,352,27,0.022727272727272728,0.01517706576728499,1.4974747474747476,0.9365260357278602
20,RUB->TJS,level,1779,344,27,0.05232558139534884,0.01517706576728499,3.4476744186046515,0.9152413530976815
20,RUB->UZS,momentum,1779,285,27,0.05964912280701754,0.01517706576728499,3.930214424951267,0.758266818700114
20,RUB->UZS,reversal,1779,104,27,0.0,0.01517706576728499,0.0,0.2767008741923223
20,RUB->UZS,seasonality,1779,369,27,0.02168021680216802,0.01517706576728499,1.4284853959650707,0.9817559863169898
20,RUB->UZS,level,1779,461,27,0.039045553145336226,0.01517706576728499,2.5726681127982647,1.2265298365640442
