horizon,corridor,indicator,eligible_days,signal_count,target_positives,signal_hit_rate,random_hit_rate,lift,signals_per_week
1,RUB->AMD,momentum,1798,251,404,0.46613545816733065,0.22469410456062291,2.074533548972427,0.6610233258088788
1,RUB->AMD,reversal,1798,87,404,0.0,0.22469410456062291,0.0,0.2291196388261851
1,RUB->AMD,seasonality,1798,356,404,0.24719101123595505,0.22469410456062291,1.1001223717877406,0.9375470278404815
1,RUB->AMD,level,1798,302,404,0.31456953642384106,0.22469410456062291,1.3999901645793718,0.7953348382242287
1,RUB->KGS,momentum,1798,273,405,0.4468864468864469,0.22525027808676307,1.9839551395106951,0.718961625282167
1,RUB->KGS,reversal,1798,98,405,0.0,0.22525027808676307,0.0,0.2580887885628292
1,RUB->KGS,seasonality,1798,387,405,0.2351421188630491,0.22525027808676307,1.0439148881870672,1.0191873589164786
1,RUB->KGS,level,1798,361,405,0.31301939058171746,0.22525027808676307,1.389651516705995,0.9507148231753197
1,RUB->KZT,momentum,1798,249,420,0.4979919678714859,0.2335928809788654,2.1318799005545994,0.6557562076749436
1,RUB->KZT,reversal,1798,98,420,0.0,0.2335928809788654,0.0,0.2580887885628292
1,RUB->KZT,seasonality,1798,409,420,0.23471882640586797,0.2335928809788654,1.004820118756549,1.0771256583897668
1,RUB->KZT,level,1798,379,420,0.28232189973614774,0.2335928809788654,1.208606608870461,0.9981188863807374
1,RUB->TJS,momentum,1798,260,401,0.45,0.22302558398220246,2.0177057356608477,0.6847253574115877
1,RUB->TJS,reversal,1798,94,401,0.0,0.22302558398220246,0.0,0.2475545522949586
1,RUB->TJS,seasonality,1798,352,401,0.23579545454545456,0.22302558398220246,1.0572574246202675,0.927012791572611
1,RUB->TJS,level,1798,344,401,0.3023255813953488,0.22302558398220246,1.3555645769297684,0.9059443190368698
1,RUB->UZS,momentum,1798,285,387,0.43859649122807015,0.21523915461624027,2.0377170315970803,0.7505643340857787
1,RUB->UZS,reversal,1798,104,387,0.0,0.21523915461624027,0.0,0.27389014296463504
1,RUB->UZS,seasonality,1798,375,387,0.224,0.21523915461624027,1.040702842377261,0.9875846501128668
1,RUB->UZS,level,1798,461,387,0.30151843817787416,0.21523915461624027,1.4008531055395808,1.2140707298720843
