corridor,indicator,eligible_days,signal_count,target_positives,signal_hit_rate,random_hit_rate,lift,signals_per_week
RUB->AMD,momentum,1796,251,166,0.30677290836653387,0.09242761692650334,3.31906110497768,0.6620195930670685
RUB->AMD,reversal,1796,87,166,0.0,0.09242761692650334,0.0,0.22946495855312735
RUB->AMD,seasonality,1796,356,166,0.11235955056179775,0.09242761692650334,1.2156491133071612,0.9389600602863601
RUB->AMD,level,1796,302,166,0.16887417218543047,0.09242761692650334,1.827096465331525,0.7965335342878673
RUB->KGS,momentum,1796,273,169,0.28205128205128205,0.09409799554565701,2.9974207252313763,0.7200452147701583
RUB->KGS,reversal,1796,98,169,0.0,0.09409799554565701,0.0,0.25847776940467215
RUB->KGS,seasonality,1796,386,169,0.11139896373056994,0.09409799554565701,1.1838611766870037,1.0180859080633007
RUB->KGS,level,1796,361,169,0.16620498614958448,0.09409799554565701,1.7662967758855252,0.9521477015825169
RUB->KZT,momentum,1796,249,174,0.30522088353413657,0.09688195991091314,3.150440843835111,0.6567445365486059
RUB->KZT,reversal,1796,98,174,0.0,0.09688195991091314,0.0,0.25847776940467215
RUB->KZT,seasonality,1796,409,174,0.10024449877750612,0.09688195991091314,1.0347075850827643,1.0787490580256216
RUB->KZT,level,1796,379,174,0.13984168865435356,0.09688195991091314,1.4434234070299943,0.9996232102486812
RUB->TJS,momentum,1796,260,165,0.2846153846153846,0.09187082405345212,3.0979953379953376,0.6857573474001507
RUB->TJS,reversal,1796,94,165,0.0,0.09187082405345212,0.0,0.24792765636774677
RUB->TJS,seasonality,1796,352,165,0.10227272727272728,0.09187082405345212,1.1132231404958677,0.9284099472494347
RUB->TJS,level,1796,344,165,0.1744186046511628,0.09187082405345212,1.8985200845665962,0.907309721175584
RUB->UZS,momentum,1796,285,165,0.29473684210526313,0.09187082405345212,3.2081658692185004,0.7516955538809343
RUB->UZS,reversal,1796,104,165,0.0,0.09187082405345212,0.0,0.27430293896006025
RUB->UZS,seasonality,1796,373,165,0.0938337801608579,0.09187082405345212,1.0213664798115198,0.9837980406932931
RUB->UZS,level,1796,461,165,0.16052060737527116,0.09187082405345212,1.7472424899756787,1.2159005275056518
