method,lift_h1,lar_h1,lift_h5,lar_h5,lift_h10,lar_h10,signals_per_week,cluster_rate,corridors_with_lar_h1,corridors_with_lar_h5,corridors_with_lar_h10
"CatBoost (A,B,C,D)",1.335205183985673,1.2534872876988263,1.5339213567750132,1.8411125103496204,1.58677159405933,1.6282433493495294,0.3999999999999999,0.3645,5,5,5
"LogReg (A,B)",1.170926945272347,1.1507849317367729,1.5176404066575713,1.0212515282986216,1.3883200610244637,0.6876021034889732,0.2153846153846153,0.2888095238095237,5,5,5
Правило: недавние изменения плохие,1.161825225864994,1.144339598297274,1.2895644218913995,0.9424140044094484,1.377645233871649,0.9795746075797608,0.2961538461538461,0.0,5,5,5
"LogReg (A,B,C)",1.1366992115888346,1.101835530146714,1.2617027336554316,0.8339732293059218,1.178155693159624,0.6054562410081481,0.35,0.2830143168378461,5,5,5
LogReg (A),1.2424848484848483,1.964303910246914,1.1605701592002962,1.14280791858621,0.0,0.0,0.0269230769230769,0.0,2,2,2
Правило: seasonality,1.035005737922232,1.0201150842355036,1.0829059991514882,0.9566684299019704,1.0090542835861824,0.9235379040050266,0.8769230769230768,0.8190016553494814,5,5,5
Случайный день,1.01412758562579,0.978326645663613,0.9984481245128126,1.0257274452503595,0.9914585715320774,0.9181253343212898,1.437735849056604,0.4835077442895109,5,5,5
"Правило: хуже, чем год назад",1.2955080362946148,1.0828374821727675,0.9958532609838516,0.612997561502943,1.035014245014245,0.5692984606662987,0.0846153846153846,0.0,5,5,5
Правило: level,0.9539917668844298,1.2362282638511526,0.9331960200151886,1.4561129042348864,0.9471554796652648,1.8556694053435527,0.926923076923077,0.7957692826915063,5,5,5
Правило: крупное последнее улучшение,0.7093812019146,0.8647654472683696,0.931766054483395,1.5137990808257478,1.0042636890955186,1.7852394706502228,0.4153846153846154,0.0742482368441447,5,5,5
Правило: недавние изменения хорошие,0.8932761601097973,2.2109396541669377,0.8841306772911353,1.717826658702064,0.8614006522245518,2.2655273746762217,0.2346153846153846,0.0763369963369963,5,5,5
Правило: диапазон удержался,0.8366659028841298,1.5971938235776562,0.790194967143721,1.9155771053879649,0.8054139728196332,2.5761441692294342,0.2192307692307692,0.0641025641025641,5,5,5
Правило: momentum,0.7878630260533404,1.4320825490543991,0.788501638290103,1.7928136671221857,0.6417416993674856,2.619076553390334,0.7269230769230768,0.558639824493483,5,5,5
Правило: лучше 30-дневного среднего,0.6731810238256635,0.862549008334689,0.7727325742649023,1.7987061549538113,0.653019136698382,0.8967512343947455,0.1923076923076923,0.0533333333333333,5,5,5
Правило: reversal,1.0480572234356826,1.3577381687908925,0.6398719448298587,0.836205115765473,0.3201424501424501,0.5836587594110542,0.1961538461538461,0.0222222222222222,5,5,5
"Правило: лучше, чем год назад",0.5238761416986769,0.8327990768443796,0.4543767123287671,5.659142129596396,0.4407407407407407,0.4287078497448648,0.0653846153846153,0.04,5,4,2
"CatBoost (A,B,C)",1.5095996732026145,2.735613247218259,0.0,0.0,0.0,0.0,0.0115384615384615,0.0,2,2,1
CatBoost (A),,,,,,,0.0,,0,0,0
"CatBoost (A,B)",,,,,,,0.0,,0,0,0
"LogReg (A,B,C,D)",,,,,,,0.0,,0,0,0
